"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 17 22:49:17 UTC 2021","Wed Mar 17 22:49:17 UTC 2021","0","","syntax/numbers/tests.lgt::tests","","tests","","iso_number_03",""
"passed","Wed Mar 17 22:41:06 UTC 2021","Wed Mar 17 22:41:06 UTC 2021","0","","functions/bitwise_or_2/tests.lgt::tests","","tests","","lgt_bitwise_or_2_08",""
"passed","Wed Mar 17 22:45:53 UTC 2021","Wed Mar 17 22:45:53 UTC 2021","0","","predicates/ground_1/tests.lgt::tests","","tests","","iso_ground_1_02",""
"passed","Wed Mar 17 22:49:21 UTC 2021","Wed Mar 17 22:49:21 UTC 2021","0","","syntax/operators/tests.lgt::tests","","tests","","lgt_operators_22",""
"passed","Wed Mar 17 22:40:55 UTC 2021","Wed Mar 17 22:40:55 UTC 2021","0","","functions/bitwise_and_2/tests.lgt::tests","","tests","","lgt_bitwise_and_1_09",""
"passed","Wed Mar 17 22:45:02 UTC 2021","Wed Mar 17 22:45:02 UTC 2021","0","","predicates/current_prolog_flag_2/tests.lgt::tests","","tests","","commons_current_prolog_flag_2_17",""
"passed","Wed Mar 17 22:43:27 UTC 2021","Wed Mar 17 22:43:27 UTC 2021","0","","predicates/arithmetic_comparison/tests.lgt::tests","","tests","","iso_arithmetic_comparison_05",""
"passed","Wed Mar 17 22:48:06 UTC 2021","Wed Mar 17 22:48:06 UTC 2021","0","","predicates/setof_3/tests.lgt::tests","","tests","","iso_setof_3_11",""
"passed","Wed Mar 17 22:42:32 UTC 2021","Wed Mar 17 22:42:32 UTC 2021","0","","functions/power_2/tests.lgt::tests","","tests","","lgt_power_2_08",""
"passed","Wed Mar 17 22:47:04 UTC 2021","Wed Mar 17 22:47:04 UTC 2021","1","","predicates/peek_byte_2/tests.lgt::tests","","tests","","lgt_peek_byte_2_22",""
"passed","Wed Mar 17 22:48:18 UTC 2021","Wed Mar 17 22:48:18 UTC 2021","0","","predicates/stream_property_2/tests.lgt::tests","","tests","","sics_stream_property_2_06c",""
"passed","Wed Mar 17 22:41:49 UTC 2021","Wed Mar 17 22:41:49 UTC 2021","0","","functions/float_integer_part_1/tests.lgt::tests","","tests","","lgt_float_integer_part_1_02",""
